# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
587 4.39875 0.720785 10.8891
588 4.40625 0.735737 10.9295
589 4.41375 0.73239 10.9699
590 4.42125 0.726097 11.0101
591 4.42875 0.723569 11.0503
592 4.43625 0.730726 11.0911
593 4.44375 0.720648 11.1314
594 4.45125 0.725183 11.1721
595 4.45875 0.722676 11.2128
596 4.46625 0.724883 11.2537
597 4.47375 0.732722 11.2952
598 4.48125 0.715849 11.336
599 4.48875 0.721194 11.3771
600 4.49625 0.709239 11.4177
601 4.50375 0.690356 11.4574
602 4.51125 0.708325 11.4982
603 4.51875 0.704152 11.5389
604 4.52625 0.704446 11.5798
605 4.53375 0.715805 11.6215
606 4.54125 0.708093 11.6628
607 4.54875 0.700361 11.7039
608 4.55625 0.713204 11.7458
609 4.56375 0.694241 11.7868
610 4.57125 0.694803 11.8279
611 4.57875 0.696871 11.8693
612 4.58625 0.689217 11.9103
613 4.59375 0.69187 11.9517
614 4.60125 0.692938 11.9932
615 4.60875 0.702048 12.0355
616 4.61625 0.688572 12.077
617 4.62375 0.688533 12.1187
618 4.63125 0.687334 12.1605
619 4.63875 0.691779 12.2026
620 4.64625 0.686417 12.2446
621 4.65375 0.689492 12.2869
622 4.66125 0.688544 12.3293
623 4.66875 0.695192 12.3722
624 4.67625 0.680981 12.4144
625 4.68375 0.682322 12.4567
626 4.69125 0.688728 12.4997
627 4.69875 0.68397 12.5424
628 4.70625 0.685216 12.5854
629 4.71375 0.682541 12.6284
630 4.72125 0.680745 12.6714
631 4.72875 0.689752 12.715
632 4.73625 0.680437 12.7583
633 4.74375 0.678226 12.8015
634 4.75125 0.693193 12.8458
635 4.75875 0.682118 12.8896
636 4.76625 0.700129 12.9346
637 4.77375 0.686734 12.9789
638 4.78125 0.695019 13.0239
639 4.78875 0.692784 13.0689
640 4.79625 0.687981 13.1138
641 4.80375 0.692827 13.159
642 4.81125 0.698354 13.2048
643 4.81875 0.683234 13.2498
644 4.82625 0.701007 13.296
645 4.83375 0.69541 13.342
646 4.84125 0.694316 13.3881
647 4.84875 0.693109 13.4343
648 4.85625 0.695765 13.4807
649 4.86375 0.699684 13.5276
650 4.87125 0.708226 13.5752
651 4.87875 0.699618 13.6224
652 4.88625 0.708043 13.6703
653 4.89375 0.702362 13.7179
654 4.90125 0.694415 13.7652
655 4.90875 0.701339 13.813
656 4.91625 0.69726 13.8607
657 4.92375 0.694626 13.9084
658 4.93125 0.704822 13.957
659 4.93875 0.714953 14.0064
660 4.94625 0.714478 14.0559
661 4.95375 0.708494 14.1051
662 4.96125 0.705065 14.1543
663 4.96875 0.719809 14.2046
664 4.97625 0.723378 14.2553
665 4.98375 0.720091 14.306
666 4.99125 0.732932 14.3577
667 4.99875 0.720468 14.4087
668 5.00625 0.716495 14.4596
669 5.01375 0.722528 14.511
670 5.02125 0.723161 14.5626
671 5.02875 0.734913 14.6153
672 5.03625 0.737184 14.6682
673 5.04375 0.740144 14.7216
674 5.05125 0.746542 14.7755
675 5.05875 0.744115 14.8294
676 5.06625 0.738851 14.8832
677 5.07375 0.757723 14.9384
678 5.08125 0.751214 14.9933
679 5.08875 0.751665 15.0485
680 5.09625 0.75503 15.104
681 5.10375 0.767108 15.1606
682 5.11125 0.753403 15.2163
683 5.11875 0.762935 15.273
684 5.12625 0.770414 15.3303
685 5.13375 0.762931 15.3873
686 5.14125 0.768742 15.4448
687 5.14875 0.790541 15.5042
688 5.15625 0.776156 15.5626
689 5.16375 0.781454 15.6216
690 5.17125 0.78378 15.681
691 5.17875 0.79735 15.7416
692 5.18625 0.791713 15.8019
693 5.19375 0.794592 15.8626
694 5.20125 0.801733 15.924
695 5.20875 0.790479 15.9847
696 5.21625 0.797839 16.0462
697 5.22375 0.814452 16.1092
698 5.23125 0.807583 16.1718
699 5.23875 0.816429 16.2352
700 5.24625 0.818255 16.299
701 5.25375 0.829662 16.3639
702 5.26125 0.824358 16.4285
703 5.26875 0.822808 16.4932
704 5.27625 0.841229 16.5595
705 5.28375 0.844178 16.6263
706 5.29125 0.836269 16.6926
707 5.29875 0.855714 16.7606
708 5.30625 0.852121 16.8286
709 5.31375 0.84747 16.8964
710 5.32125 0.851999 16.9647
711 5.32875 0.8565 17.0336
712 5.33625 0.867462 17.1035
713 5.34375 0.863338 17.1734
714 5.35125 0.861739 17.2432
715 5.35875 0.88877 17.3155
716 5.36625 0.879678 17.3873
717 5.37375 0.880472 17.4593
718 5.38125 0.890926 17.5324
719 5.38875 0.886216 17.6052
720 5.39625 0.88868 17.6785
721 5.40375 0.901187 17.7531
722 5.41125 0.90618 17.8282
723 5.41875 0.911048 17.904
724 5.42625 0.909046 17.9798
725 5.43375 0.920085 18.0567
726 5.44125 0.908606 18.1329
727 5.44875 0.925525 18.2108
728 5.45625 0.935676 18.2896
729 5.46375 0.927934 18.3681
730 5.47125 0.940735 18.4479
731 5.47875 0.92695 18.5267
732 5.48625 0.926937 18.6057
733 5.49375 0.952192 18.6871
734 5.50125 0.958256 18.7692
735 5.50875 0.948059 18.8507
736 5.51625 0.962978 18.9337
737 5.52375 0.95372 19.0161
